Unmapped Part Numbers Report
Generated on: 2025-05-02 14:35:37

Total Parts: 3746
Mapped Parts: 2785
Unmapped Parts: 961

Unique Unmapped Part Numbers:
============================================================================================================================================
Part Number	Description	Job Number	Operation	Op Description	Quantity
MAL02272-12	10MM Y MIRROR & MOUNT, OPTOSIC MIRROR, 257-H COATING, 5MM MOUNT	497034	10	CMPv2 Galvo Systems	1
MAL02274-01	15MM Y MIRROR & MOUNT, OPTOSIC MIRROR, 1064-H COATING, 5MM MOUNT (FOR 1030NM APPLICATIONS ONLY)	497081	10	CMPv2 Galvo Systems	9
MAL02273-05	15MM X MIRROR & MOUNT, OPTOSIC MIRROR, 343-D COATING, OPTIMIZED FOR AOI 35°-55°, 5MM MOUNT	497080	10	CMPv2 Galvo Systems	5
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	484252	50	CMP-Galvo Systems	10
GTS - Warranty Return	AGV10XPO SN 466534-01 GTSE-46912 (Mechanical)	518259	20	CMP-Galvo Systems	1
MAL02276-03	20MM Y MIRROR & MOUNT, OPTOSIC MIRROR, 522-H COATING, 5MM MOUNT	497088	10	CMPv2 Galvo Systems	4
MCB01677	Bearing, Rotary, Angular Contact, English, 1X, 3.5 x 4 x 0.25, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	500820	10	CMPv2 Rotary	3
MCB01715	Bearing, Rotary, Angular Contact, English, 1X, 9 x 10 x 0.5, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	506201	10	CMPv2 Rotary	2
MCB01678	Bearing, Rotary, Angular Contact, English, 1X, 4 x 4.5 x 0.25, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	499122	10	CMPv2 Rotary	22
MCB01667	Bearing, Rotary, Angular Contact, English, 1X, 3 x 3.5 x 0.25, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	499120	10	CMPv2 Rotary	55
MCB01711	Bearing, Rotary, Angular Contact, English, 1X, 4.5 x 5.25 x 0.375, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	503090	10	CMPv2 Rotary	1
MCB01715	Bearing, Rotary, Angular Contact, English, 1X, 9 x 10 x 0.5, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	500947	10	CMPv2 Rotary	1
MCB01713	Bearing, Rotary, Angular Contact, English, 1X, 6.5 x 7.25 x 0.375, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	503088	10	CMPv2 Rotary	1
MCB01711	Bearing, Rotary, Angular Contact, English, 1X, 4.5 x 5.25 x 0.375, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	500938	10	CMPv2 Rotary	4
MCB01712	Bearing, Rotary, Angular Contact, English, 1X, 5 x 5.75 x 0.375, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	500821	10	CMPv2 Rotary	7
MCB01713	Bearing, Rotary, Angular Contact, English, 1X, 6.5 x 7.25 x 0.375, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	499126	10	CMPv2 Rotary	4
MCB01666	Bearing, Rotary, Angular Contact, English, 1X, 2.5 x 3 x 0.25, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	499119	10	CMPv2 Rotary	55
MCB01714	Bearing, Rotary, Angular Contact, English, 1X, 7 x 7.75 x 0.375, Open, ABEC 3, 30 Degrees, Pre-Greased - Kluberplex BEM 34-132 - 30%	503089	10	CMPv2 Rotary	1
